type chaussure,prix,adresse,image_lien
Claquettes enfant,1250.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg
Mocassins enfant en daim,15000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3354895_uploaded_image1_1632752207.jpg
Ensemble talon,15000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png
Baskets Adidas enfants,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg
Chaussures enfants Zara,7000.0,Sénégal,https://images.coinafrique.com/thumb_905654_uploaded_image1_1567532748.81.png
Chaussures enfant,10000.0,Sénégal,https://images.coinafrique.com/thumb_919324_uploaded_image1_1567854655.1.png
Baskets Lacoste - enfant,15000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_919329_uploaded_image1_1567854794.2.png
Chaussures et sacs - enfants,15000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_947507_uploaded_image1_1568567749.69.png
Chaussures enfants,500.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5726987_uploaded_image2_1768721889.jpeg
Chaussures petit  garçon,2500.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989555_uploaded_image1_1569454732.88.png
Chaussures petite fille,3000.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989571_uploaded_image1_1569455169.87.png
Chaussures filles,3000.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989597_uploaded_image1_1569455797.26.png
Chaussures garçons,3000.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_989602_uploaded_image1_1569455878.5.png
Chaussures enfants,3000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
Mocassins enfant,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg
Chaussures orthopédiques enfants,12000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3128593_uploaded_image1_1621701550.jpg
Chaussures enfants,10000.0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png
Chaussures enfant,10000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg
Claquettes enfant,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2972548_uploaded_image1_1614340301.jpg
Ensemble chaussures et chaussettes pour bebe,1800.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
Chaussures enfant,3500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1270845_uploaded_image1_1575041164.15.png
Chaussures Skateboard,11000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg
Claquettes pour fille,9000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1352820_uploaded_image1_1576580373.29.png
Coffrets pour enfants,6000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_1357961_uploaded_image1_1576667812.04.png
Chaussures enfant,15000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3247099_uploaded_image1_1627387079.jpg
Chaussures anti-dérapantes,4000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1381082_uploaded_image1_1577115739.61.png
Chaussures enfant,10000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1409266_uploaded_image1_1577711646.42.png
Chaussures enfants,7000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3777593_uploaded_image1_1657274825.jpg
Chaussures enfant Ogiy,17000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
Chaussures enfant Cat & Jack,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1873847_uploaded_image1_1585663572.73.png
Chaussures enfant,1000.0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2085293_uploaded_image1_1589039358.jpg
Chaussures enfant,18000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg
Chaussures enfant,10000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2065087_uploaded_image1_1588754465.jpg
Chaussures /  garçon,8000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2076146_uploaded_image1_1588892627.jpg
