web_scraper_order,web_scraper_start_url,container_links,type chaussure,prix,adresse,image_lien
"1771879045-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1771879048-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1771879051-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661","Claquettes enfant","1 250 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_3768510_uploaded_image1_1656771169.jpg"
"1771879053-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771879081-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044","","","",""
"1771879084-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771879087-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771879091-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771879094-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771879100-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
