web_scraper_order,web_scraper_start_url,container_links,type chaussure,prix,adresse,image_lien
1771786619-1,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5337426,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786622-2,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5291978,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786625-3,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-stan-smith-5291976,Chaussures Stan Smith,13 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291976_uploaded_image1_1745276541.jpg
1771786627-4,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5291981,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786630-5,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5291969,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786633-6,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-5293050,Chaussures Nike,20 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5293050_uploaded_image1_1745339558.jpg
1771786635-7,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5293048,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786639-8,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5293535,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786642-9,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5343375,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786645-10,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5343503,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786647-11,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-balenciaga-5343633,Chaussures Balenciaga,13 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5343633_uploaded_image1_1748099218.jpg
1771786650-12,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-original-5299450,Baskets Adidas Samba,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5758571_uploaded_image1_1770232010.jpg
1771786653-13,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/stan-smith-5299470,Stan  Smith,13 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299470_uploaded_image1_1745669343.jpg
1771786655-14,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5346342,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786658-15,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5346444,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786662-16,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-5346815,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786702-17,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5348083,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786704-18,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-5348095,Sandales homme,13 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5566807_uploaded_image1_1760037954.jpg
1771786707-19,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-5348109,Sandales homme,13 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5566807_uploaded_image1_1760037954.jpg
1771786710-20,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5348355,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
1771786713-21,https://sn.coinafrique.com/categorie/chaussures-homme?page=9,https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5348358,Chaussures homme,15 000 CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5773520_uploaded_image1_1771005361.jpg
