type habits,prix,adresse,image_lien
Ensemble blouson-pantalon,12000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg
Tenues mardi gras,8000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2862971_uploaded_image1_1609530110.jpg
Tenue mardi gras,2000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg
Ensemble blouson enfant,6500.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
Ensemble de fille,11000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2879908_uploaded_image1_1610201702.jpg
Ensemble veste,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2894368_uploaded_image1_1610800978.jpg
Pull bébé,6000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3546662_uploaded_image1_1643656828.jpg
Tenue mardi gras,5000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_2904713_uploaded_image1_1611250923.jpg
Ensemble bébé,7000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
Habits enfants,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
Robe enfant,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg
Kit de prière pour fille,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg
Kit de prière pour garçon,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg
Caleçon enfant,1500.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2970911_uploaded_image1_1614259523.jpg
Robes filles,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2991324_uploaded_image1_1615228431.jpg
Ensemble maillots enfants,8000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2997124_uploaded_image1_1615491439.jpg
Pantalon jeans friperie enfants,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg
Ensemble chemise - pantalon jeans friperie,5000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg
Pantalon jeans enfants,2000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg
Ensemble chemises + pantalon friperie enfants,3000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3174199_uploaded_image2_1623782190.jpeg
Robe coton fille 2 - 5 ans,6000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
