type habits,prix,adresse,image_lien
Costumes et tenues africaines,35000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968391_uploaded_image1_1727697449.jpg
chemise lin,8000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4968714_uploaded_image1_1727707756.jpg
Shorts coton,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg
Ensemble caleçons + débardeurs  homme,6000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg
Pantalon jonguine,7000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4980672_uploaded_image1_1728290459.jpg
Tee-shirt en coton pour homme,4000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5463022_uploaded_image1_1754517200.jpg
Ensemble homme,5000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4985171_uploaded_image1_1728490161.jpg
Complet homme,13000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4987767_uploaded_image1_1728602707.jpg
Abaya marocaine,7500.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4987957_uploaded_image1_1728624109.jpg
Ensembles Jalabas Homme,9000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5776991_uploaded_image1_1771261720.jpg
Vetement homme,5000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5127469_uploaded_image1_1736445621.jpg
Ensemble Adidas,35000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4997542_uploaded_image2_1729108754.jpeg
Ensemble pantalon,15000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329465_uploaded_image1_1747315368.jpg
Ensemble vêtements homme,10000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5255096_uploaded_image1_1743180713.jpg
T-shirts en coton,5000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4960433_uploaded_image1_1727215491.jpg
Ensemble homme,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3661182_uploaded_image1_1650406276.jpg
Pantalon kaki,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379655_uploaded_image1_1750203441.jpg
T-shirts TCP,7000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5271254_uploaded_image1_1744089163.jpg
Djellaba pour homme avec pantalon,10000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5743341_uploaded_image1_1769469453.jpg
Ensemble homme,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640578_uploaded_image1_1764085646.jpg
Polo Lacoste pour enfant,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961359_uploaded_image1_1727266345.jpg
Ensemble homme adulte a 15ans,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961371_uploaded_image1_1727266653.jpg
Ensemble homme turquie,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017680_uploaded_image1_1730277354.jpg
