web_scraper_order,web_scraper_start_url,container_links,type habits,prix,adresse,image_lien
1771860689-1,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2851844,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771860692-2,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-pantalon-2855622,Ensemble blouson-pantalon,12 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg
1771860723-3,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/tenues-mardi-gras-2862971,Tenues mardi gras,8 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2862971_uploaded_image1_1609530110.jpg
1771860725-4,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/tenue-mardi-gras-2862973,Tenue mardi gras,2 000 CFA,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg
1771860728-5,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/tenue-mardi-gras-2862977,,,,
1771860730-6,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/tenue-mardi-gras-2862982,Tenue mardi gras,2 000 CFA,"Saly, Sénégal",https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg
1771860735-7,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-blousons-2877447,Ensemble blouson enfant,6 500 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
1771860737-8,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-de-fille-nouveau-ne-2879903,Ensemble de fille,11 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2879908_uploaded_image1_1610201702.jpg
1771860741-9,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-veste-2894368,Ensemble veste,15 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2894368_uploaded_image1_1610800978.jpg
1771860744-10,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/pull-2898864,Pull bébé,6 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3546662_uploaded_image1_1643656828.jpg
1771860746-11,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/tenue-mardi-gras-2904713,Tenue mardi gras,5 000 CFA,"Saly, Sénégal",https://images.coinafrique.com/thumb_2904713_uploaded_image1_1611250923.jpg
1771860749-12,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-2904731,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771860751-13,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-2904738,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771860754-14,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2913239,Ensemble bébé,7 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
1771860756-15,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-blousons-2919804,Ensemble blouson enfant,6 500 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
1771860790-16,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2925176,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771860799-17,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2938684,,,,
1771860802-18,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-2938975,Vetements enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
1771860804-19,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2938979,Vetements enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
1771860829-20,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2938981,Friperie enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3733511_uploaded_image1_1654724106.jpg
1771860831-21,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperie-enfants-2938986,,,,
1771860834-22,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/friperie-enfants-2938990,Friperie enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3733511_uploaded_image1_1654724106.jpg
1771860836-23,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-2938994,Vetements enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
1771860838-24,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-friperie-enfants-2939012,,,,
1771860841-25,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/habits-enfants-2939878,Habits enfants,3 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg
1771860843-26,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/shorts-garcon-2940112,Shorts garçon,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2940112_uploaded_image1_1612814516.jpg
1771860846-27,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2942141,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771860848-28,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2951605,Ensemble blouson enfant,6 500 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
1771860851-29,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-filles-2956437,Robe enfant,8 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg
1771860853-30,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/sous-vetements-fille-2956441,,,,
1771860855-31,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-2958970,,,,
1771860859-32,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2958974,,,,
1771860861-33,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/kit-de-priere-pour-fille-2959180,Kit de prière pour fille,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg
1771860865-34,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/kit-de-priere-pour-garcon-2959193,Kit de prière pour garçon,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg
1771860867-35,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2959248,,,,
1771860870-36,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2959255,,,,
1771860873-37,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-nouveau-ne-2959257,,,,
1771860876-38,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2959258,Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
1771860878-39,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-nouveau-ne-2959262,,,,
1771860882-40,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2961083,Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
1771860884-41,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2961086,,,,
1771860887-42,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2961090,Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
1771862568-43,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/calecon-enfant-2970911,Caleçon enfant,1 500 CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2970911_uploaded_image1_1614259523.jpg
1771862571-44,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2971081,,,,
1771862574-45,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2979283,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771862577-46,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2981375,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771862579-47,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-2983859,,,,
1771862582-48,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/robes-filles-2991324,Robes filles,15 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2991324_uploaded_image1_1615228431.jpg
1771862585-49,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-maillots-enfants-2997124,Ensemble maillots enfants,8 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2997124_uploaded_image1_1615491439.jpg
1771862587-50,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/lot-de-vetements-friperie-de-0-a-12ans-3000888,,,,
1771862589-51,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-bebe-3008320,,,,
1771862592-52,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-jeans-friperie-3012387,Pantalon jeans friperie enfants,6 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg
1771862595-53,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-chemise-pantalon-jeans-friperie-3012391,Ensemble chemise - pantalon jeans friperie,5 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg
1771862597-54,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-jeans-friperie-enfants-3012395,Pantalon jeans friperie enfants,6 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg
1771862599-55,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-3013647,,,,
1771862602-56,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-3013660,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771862605-57,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-jeans-enfants-3017355,Pantalon jeans enfants,2 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg
1771862609-58,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-chemise-pantalon-enfant-3017358,Ensemble chemises + pantalon friperie enfants,3 000 CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3174199_uploaded_image2_1623782190.jpeg
1771862611-59,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfant-de-0-a-13ans-3019124,,,,
1771862614-60,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-bebe-3024581,Ensemble bébé,7 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
1771862616-61,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-3032224,Ensemble bébé,7 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
1771862619-62,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-3032229,Robe coton fille 2 - 5 ans,6 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4775884_uploaded_image1_1717367280.jpg
1771862621-63,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3033057,Ensemble femme,13 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3737301_uploaded_image1_1654947992.jpg
1771862625-64,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/barboteuse-3033102,Barboteuse,1 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3033102_uploaded_image1_1617286526.jpg
1771862628-65,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-enfant-3035799,Ensemble blouson enfant,8 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg
1771862630-66,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-3035855,Ensemble bébé,7 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg
1771862633-67,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3037689,Ensemble femme,13 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3737301_uploaded_image1_1654947992.jpg
1771862635-68,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-enfant-chapeau-3037692,Ensembles enfant + chapeau,1 500 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037692_uploaded_image1_1617454021.jpg
1771862637-69,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/body-enfant-3037697,Ensemble  body et collant,2 500 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3043879_uploaded_image1_1617740872.jpg
1771862640-70,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-3037698,,,,
1771862642-71,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-3037998,Ensemble enfant,4 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4083084_uploaded_image1_1675711069.jpg
1771862645-72,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3038010,Vetement enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
1771862647-73,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-3038014,Ensemble enfant,4 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4083084_uploaded_image1_1675711069.jpg
1771862649-74,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/set-de-bapteme-3038303,Set de baptême,15 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3038303_uploaded_image1_1617474759.jpg
1771862652-75,https://sn.coinafrique.com/categorie/vetements-enfants?page=10,https://sn.coinafrique.com/annonce/vetements-enfants/ensembles-pour-enfants-3038305,Ensemble enfant,9 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4773123_uploaded_image1_1717195531.jpg
1771862657-76,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3041189,Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
1771862659-77,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-3041195,Vêtements enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384909_uploaded_image1_1634171727.jpg
1771862662-78,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-body-et-collant-3043879,Ensemble  body et collant,2 500 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3043879_uploaded_image1_1617740872.jpg
1771862664-79,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/t-shirt-enfant-3051993,T-shirt enfant,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3051993_uploaded_image1_1618077955.jpg
1771862667-80,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-blouson-enfant-3053772,Ensemble blouson enfant,6 500 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3053772_uploaded_image1_1618187520.jpg
1771862670-81,https://sn.coinafrique.com/categorie/vetements-enfants?page=9,https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-3056574,Vetements enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2512733_uploaded_image1_1596568364.jpg
