web_scraper_order,web_scraper_start_url,container_links,type habits,prix,adresse,image_lien
"1771855847-1","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/costumes-et-tenues-africaines-4968391","Costumes et tenues africaines","35 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4968391_uploaded_image1_1727697449.jpg"
"1771855850-2","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/chemise-lin-4968714","chemise lin","8 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4968714_uploaded_image1_1727707756.jpg"
"1771855852-3","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/short-4925578","Shorts coton","8 000 CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg"
"1771855855-4","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-calecon-et-sous-vetements-4927319","Ensemble caleçons + débardeurs  homme","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3650018_uploaded_image1_1649757791.jpg"
"1771855858-5","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/abaya-homme-4932581","Abaya homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4932581_uploaded_image2_1725710913.jpeg"
"1771855861-6","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-jonguine-4980672","Pantalon jonguine","7 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4980672_uploaded_image1_1728290459.jpg"
"1771855863-7","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/vestes-dhiver-impermeables-en-nylon-4981707","","","",""
"1771855866-8","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-4983392","Tee-shirt en coton pour homme","4 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_5463022_uploaded_image1_1754517200.jpg"
"1771855870-9","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-4985171","Ensemble homme","5 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4985171_uploaded_image1_1728490161.jpg"
"1771855872-10","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-dart-4985177","","","",""
